Step,Time,Temp,Pressure,Volume,EnergyKinetic,EnergyPotential,EnergyTotal,EnergyTotalPerAtom,NoOfNeighbors,MinDist
720,0.0857,29.15454249007471077,411.37243320013817538,251605.31808377601556,40.5153627094036,-71303.1289275563,-71262.6135648469,-6.6278,40,2.2572
730,0.0883,29.646103837833024386,389.61210772945531744,251605.31808377601556,41.1984736278868,-71303.8127115571,-71262.6142379292,-6.6278,43,2.3040
740,0.0906,29.828592275733562644,346.17271671275602785,251605.31808377601556,41.4520733972651,-71304.0662197546,-71262.6141463573,-6.6278,49,2.3540
750,0.0929,29.670273704448856478,321.73814712733417309,251605.31808377601556,41.2320619070688,-71303.8460669884,-71262.6140050813,-6.6278,53,2.4074
760,0.0952,29.290760763014134227,310.96350301877822631,251605.31808377601556,40.7046619493992,-71303.3185629399,-71262.6139009905,-6.6278,53,2.4627
770,0.0974,28.77752699056768293,308.76375906853047582,251605.31808377601556,39.9914333863901,-71302.6052748542,-71262.6138414678,-6.6278,54,2.4915
780,0.0997,28.181254028488968544,311.19120250660199645,251605.31808377601556,39.1628072695284,-71301.7766202253,-71262.6138129558,-6.6278,55,2.4621
790,0.1020,27.527306877758324077,315.4673350851821283,251605.31808377601556,38.2540327273228,-71300.8678317797,-71262.6137990524,-6.6278,54,2.4354
800,0.1043,26.829451437815464487,320.02754241224124598,251605.31808377601556,37.2842398973498,-71299.8980260063,-71262.6137861089,-6.6278,52,2.4119
810,0.1066,26.101485199621503597,324.17823305597937633,251605.31808377601556,36.2726028191597,-71298.8863692135,-71262.6137663944,-6.6278,52,2.3924
820,0.1091,25.364372274894986248,327.39077481810136305,251605.31808377601556,35.2482548118723,-71297.8619938178,-71262.613739006,-6.6278,55,2.3779
830,0.1115,24.647419430545426167,329.06995508161571706,251605.31808377601556,34.2519227807918,-71296.8656327173,-71262.6137099365,-6.6278,55,2.3692
840,0.1140,23.982846055753583414,328.69929539435509014,251605.31808377601556,33.3283812319621,-71295.9420716848,-71262.6136904529,-6.6278,56,2.3672
850,0.1166,23.395087172042185131,326.19463355331356524,251605.31808377601556,32.5115869239276,-71295.1252759189,-71262.6136889949,-6.6278,55,2.3727
860,0.1193,22.891670484028896482,322.05416965714897515,251605.31808377601556,31.8120009257674,-71294.425705526,-71262.6137046003,-6.6278,53,2.3857
870,0.1221,22.462521779592695026,317.46826484251664624,251605.31808377601556,31.2156233485023,-71293.8293508414,-71262.6137274929,-6.6278,52,2.4059
880,0.1250,22.087824101946871735,314.13167547926639145,251605.31808377601556,30.6949150464817,-71293.3086616233,-71262.6137465769,-6.6278,54,2.4230
890,0.1281,21.748619508345722551,313.69909597878921659,251605.31808377601556,30.2235306250961,-71292.8372848635,-71262.6137542384,-6.6278,57,2.4260
900,0.1314,21.435536259738505294,317.12863699121936634,251605.31808377601556,29.7884464052056,-71292.4021950859,-71262.6137486807,-6.6278,61,2.4158
910,0.1349,21.152522035519869092,324.34215086871517997,251605.31808377601556,29.3951483814056,-71292.0088862785,-71262.6137378971,-6.6278,67,2.4135
920,0.1387,20.911773363639554191,334.27660585646140134,251605.31808377601556,29.0605857736624,-71291.674322386,-71262.6137366123,-6.6278,74,2.4206
930,0.1428,20.720574319228280302,345.35386403444204007,251605.31808377601556,28.7948810850483,-71291.4086373713,-71262.6137562863,-6.6278,87,2.4322
940,0.1474,20.567297701419715139,355.98005460491833674,251605.31808377601556,28.5818762756777,-71291.1956706487,-71262.613794373,-6.6278,93,2.4504
950,0.1526,20.416746598253130429,364.80299132501386339,251605.31808377601556,28.3726590480991,-71290.9864927641,-71262.613833716,-6.6278,105,2.4807
960,0.1584,20.223479592775166935,370.52770447199088721,251605.31808377601556,28.1040805639962,-71290.7179293037,-71262.6138487397,-6.6278,119,2.5156
970,0.1646,19.966849270499952951,372.34633427844647713,251605.31808377601556,27.7474476107351,-71290.3612683977,-71262.613820787,-6.6278,125,2.5556
980,0.1709,19.677661233122627493,370.30509449650253373,251605.31808377601556,27.3455699880781,-71289.9593361303,-71262.6137661422,-6.6278,123,2.5342
990,0.1775,19.40322422967660998,364.14647629096356241,251605.31808377601556,26.9641915205791,-71289.5779064402,-71262.6137149196,-6.6278,124,2.5275
1000,0.1845,19.199707708883693158,352.76822918407884799,251605.31808377601556,26.6813695328876,-71289.2950649469,-71262.613695414,-6.6278,120,2.5371
1010,0.1922,19.104889300738399527,336.22660074492188187,251605.31808377601556,26.549602683902,-71289.163321613,-71262.6137189291,-6.6278,121,2.5654
1020,0.2003,19.124689129062812043,318.48794343029101128,251605.31808377601556,26.5771180265427,-71289.190904052,-71262.6137860255,-6.6278,114,2.6131
1030,0.2084,19.198585606221641342,301.94340986495200241,251605.31808377601556,26.6798101739518,-71289.2936850225,-71262.6138748485,-6.6278,116,2.6766
1040,0.2168,19.233391709574892303,282.96691724020871561,251605.31808377601556,26.7281793741318,-71289.3421057527,-71262.6139263785,-6.6278,119,2.7058
1050,0.2248,19.173598177501872897,259.64765684100302678,251605.31808377601556,26.6450857484836,-71289.2589731341,-71262.6138873857,-6.6278,130,2.7065
1060,0.2326,19.054495663032767538,234.10376111423562406,251605.31808377601556,26.4795718641563,-71289.0933756973,-71262.6138038331,-6.6278,127,2.6771
1070,0.2402,18.952803340349920092,211.02834124868778076,251605.31808377601556,26.3382525023567,-71288.951987679,-71262.6137351766,-6.6278,118,2.6643
1080,0.2476,18.933061534359534761,192.43556383507799978,251605.31808377601556,26.3108177919505,-71288.9245140257,-71262.6136962338,-6.6278,120,2.6620
1090,0.2545,19.024919888471043095,177.04427563875725582,251605.31808377601556,26.4384711254228,-71289.0521515491,-71262.6136804237,-6.6278,117,2.6669
1100,0.2611,19.225658361798181772,162.8036211491999552,251605.31808377601556,26.7174325277274,-71289.331110082,-71262.6136775543,-6.6278,110,2.6688
1110,0.2673,19.520659851441603649,149.54764307992471117,251605.31808377601556,27.1273889644229,-71289.7410711441,-71262.6136821797,-6.6278,99,2.6223
1120,0.2731,19.889345168119199059,137.49940673644886147,251605.31808377601556,27.6397420337914,-71290.2534294834,-71262.6136874496,-6.6278,88,2.5855
1130,0.2785,20.311940763452362546,126.71625032203388628,251605.31808377601556,28.2270129137974,-71290.8407046425,-71262.6136917287,-6.6278,83,2.5579
1140,0.2837,20.777381203186401137,117.22159104894286941,251605.31808377601556,28.8738242380316,-71291.4875213612,-71262.6136971232,-6.6278,77,2.5387
1150,0.2887,21.27725914171213617,108.98700737151304452,251605.31808377601556,29.5684925215999,-71292.1821949326,-71262.613702411,-6.6278,67,2.5271
1160,0.2935,21.804952276105399989,101.88051837104144681,251605.31808377601556,30.3018149102632,-71292.915523036,-71262.6137081258,-6.6278,63,2.5226
1170,0.2981,22.354296633956689533,95.900737613868486164,251605.31808377601556,31.0652254806155,-71293.6789434804,-71262.6137179997,-6.6278,58,2.5245
1180,0.3026,22.916557201722902448,91.442242622418831388,251605.31808377601556,31.8465853955584,-71294.460317605,-71262.6137322094,-6.6278,57,2.5322
1190,0.3070,23.480879087960591534,88.437184198785544709,251605.31808377601556,32.6308098749361,-71295.2445551692,-71262.6137452943,-6.6278,53,2.5449
1200,0.3113,24.037638956643878174,86.613984991367232169,251605.31808377601556,33.4045256013764,-71296.0182831665,-71262.6137575651,-6.6278,49,2.5620
1210,0.3155,24.577869397672316154,85.786640896790586908,251605.31808377601556,34.1552707819046,-71296.7690418841,-71262.6137711022,-6.6278,47,2.5826
1220,0.3198,25.09187218397610053,85.741276880042235575,251605.31808377601556,34.8695680248757,-71297.4833536645,-71262.6137856396,-6.6278,46,2.6061
1230,0.3240,25.56985939586592238,86.032205531756531514,251605.31808377601556,35.53381529498,-71298.1476126755,-71262.6137973805,-6.6278,44,2.6319
1240,0.3282,26.004642590974313521,85.953665247955044038,251605.31808377601556,36.138022987684,-71298.7518253336,-71262.6138023459,-6.6278,43,2.6336
1250,0.3326,26.393329085961845237,85.025812517894394205,251605.31808377601556,36.6781712108993,-71299.291978106,-71262.6138068951,-6.6278,40,2.5636
1260,0.3370,26.7289066042485004,84.396563864726374504,251605.31808377601556,37.144515173427,-71299.7583590971,-71262.6138439237,-6.6278,43,2.4958
1270,0.3416,26.970414247085692239,88.971087444264654209,251605.31808377601556,37.4801325047562,-71300.0941059159,-71262.6139734112,-6.6278,39,2.4314
1280,0.3465,26.991998905791628971,108.20235736804978899,251605.31808377601556,37.5101281830189,-71300.1243221453,-71262.6141939623,-6.6278,36,2.3741
1290,0.3521,26.625636086364991684,144.07890505145380189,251605.31808377601556,37.0010026319195,-71299.6143242993,-71262.6133216673,-6.6278,32,2.2899
1300,0.3575,26.443322240569880677,147.59621530838498416,251605.31808377601556,36.7476454889683,-71299.3607492524,-71262.6131037634,-6.6278,36,2.2604
1310,0.3627,26.767414377848464113,135.1090744077056911,251605.31808377601556,37.1980284952384,-71299.8114033519,-71262.6133748567,-6.6278,36,2.2914
1320,0.3678,27.180545490802042963,98.340391227009916975,251605.31808377601556,37.7721468129431,-71300.3862155638,-71262.6140687509,-6.6278,37,2.3725
1330,0.3726,27.214100286955797969,80.799582782101737166,251605.31808377601556,37.818777101766,-71300.4326337935,-71262.6138566917,-6.6278,43,2.4555
1340,0.3770,27.033704643985903004,78.712120068578713017,251605.31808377601556,37.5680856388967,-71300.1818338475,-71262.6137482086,-6.6278,48,2.5200
1350,0.3812,26.761163097931678578,81.336478161528688702,251605.31808377601556,37.1893412427009,-71299.8030571152,-71262.6137158725,-6.6278,56,2.5594
1360,0.3854,26.444410646075542815,83.247526658289373813,251605.31808377601556,36.7491580197807,-71299.3628557046,-71262.6136976849,-6.6278,57,2.5426
1370,0.3894,26.112544906014036883,83.121643825534675898,251605.31808377601556,36.2879722256975,-71298.901646694,-71262.6136744683,-6.6278,58,2.5090
1380,0.3932,25.793454496783500218,81.748396090405009318,251605.31808377601556,35.8445399999485,-71298.4581919486,-71262.6136519486,-6.6278,64,2.4806
1390,0.3970,25.510877851287958151,80.649518797564482497,251605.31808377601556,35.4518500687189,-71298.0654873177,-71262.613637249,-6.6278,63,2.4585
1400,0.4008,25.280956949945153411,80.370962452676764087,251605.31808377601556,35.1323345518643,-71297.7459585025,-71262.6136239506,-6.6278,65,2.4436
1410,0.4045,25.116898106905189536,80.503546553961868426,251605.31808377601556,34.9043459448157,-71297.5179585905,-71262.6136126457,-6.6278,62,2.4366
1420,0.4081,25.02901812783258606,80.490520042266894052,251605.31808377601556,34.7822212629335,-71297.3958304075,-71262.6136091446,-6.6278,63,2.4379
1430,0.4118,25.020015267377459622,80.101136635380001394,251605.31808377601556,34.7697102054582,-71297.383327337,-71262.6136171315,-6.6278,62,2.4473
1440,0.4154,25.082118672033224982,79.390078020621118071,251605.31808377601556,34.8560138051793,-71297.4696458726,-71262.6136320674,-6.6278,65,2.4641
1450,0.4190,25.201216687661300853,78.298928572009742766,251605.31808377601556,35.0215214375761,-71297.6351651918,-71262.6136437542,-6.6278,65,2.4873
1460,0.4226,25.365026640762035726,76.581974639193617804,251605.31808377601556,35.2491641682945,-71297.8628130638,-71262.6136488955,-6.6278,70,2.5039
1470,0.4263,25.565147952474411852,74.462576858014131176,251605.31808377601556,35.5272679160267,-71298.140929143,-71262.6136612269,-6.6278,68,2.5279
1480,0.4300,25.781894619423962212,73.687469164334359562,251605.31808377601556,35.8284755179126,-71298.4421849592,-71262.6137094413,-6.6278,68,2.4996
1490,0.4336,25.966371633246350115,77.936190503350687209,251605.31808377601556,36.0848387631635,-71298.6986468883,-71262.6138081251,-6.6278,70,2.4174
1500,0.4373,26.040213349240637797,91.130106956802862328,251605.31808377601556,36.1874548103065,-71298.8013255624,-71262.6138707521,-6.6278,68,2.3449
1510,0.4412,25.987077990263337313,107.04899983979672129,251605.31808377601556,36.1136138868074,-71298.7272796943,-71262.6136658075,-6.6278,69,2.2916
1520,0.4452,26.048277963716735428,105.10100399169309071,251605.31808377601556,36.1986620100326,-71298.8122855507,-71262.6136235407,-6.6278,68,2.2728
1530,0.4492,26.323621805606428836,98.07721015192136349,251605.31808377601556,36.5813006889884,-71299.1950118134,-71262.6137111244,-6.6278,62,2.2948
1540,0.4530,26.636092669122838572,73.787588185484082715,251605.31808377601556,37.0155338921264,-71299.6295571211,-71262.614023229,-6.6278,58,2.3488
1550,0.4566,26.756697211780448242,56.166512360412355065,251605.31808377601556,37.1831351087066,-71299.7971017805,-71262.6139666718,-6.6278,63,2.4188
1560,0.4602,26.712041810383283291,50.221572033187918294,251605.31808377601556,37.1210785772019,-71299.7349726716,-71262.6138940944,-6.6278,61,2.4842
1570,0.4638,26.561919872439489154,53.501168309867225048,251605.31808377601556,36.9124577501557,-71299.526331549,-71262.6138737989,-6.6278,59,2.4400
1580,0.4675,26.326250810193961627,63.943410147208169292,251605.31808377601556,36.5849541530915,-71299.1988277923,-71262.6138736392,-6.6278,54,2.4016
1590,0.4714,26.009626627327296688,79.671424801208189592,251605.31808377601556,36.1449491824843,-71298.7587685494,-71262.6138193669,-6.6278,55,2.3601
1600,0.4758,25.669243981254048492,94.775179582446995141,251605.31808377601556,35.6719276500648,-71298.2855929439,-71262.6136652938,-6.6278,50,2.3306
1610,0.4805,25.492443256486676972,97.36280570419603464,251605.31808377601556,35.4262319580924,-71298.0398930584,-71262.6136611003,-6.6278,47,2.3276
1620,0.4852,25.514509983712425623,87.697843110372289743,251605.31808377601556,35.4568975553202,-71298.0707334067,-71262.6138358514,-6.6278,49,2.3548
1630,0.4896,25.555882057512668837,78.587248978306050162,251605.31808377601556,35.514391325858,-71298.1282764165,-71262.6138850907,-6.6278,53,2.3995
1640,0.4938,25.539926712316944446,75.000879817485440526,251605.31808377601556,35.4922185684573,-71298.1060751864,-71262.6138566179,-6.6278,59,2.4513
1650,0.4980,25.478519000117447746,75.217491283350682352,251605.31808377601556,35.40688175572,-71298.0207074864,-71262.6138257307,-6.6278,58,2.5062
1660,0.5023,25.392955448761217241,76.40102709173305584,251605.31808377601556,35.2879761574215,-71297.9017887991,-71262.6138126417,-6.6278,60,2.5144
1670,0.5067,25.291826689471253786,76.747803497988982713,251605.31808377601556,35.1474399660414,-71297.7612579536,-71262.6138179875,-6.6278,58,2.4713
1680,0.5114,25.168515657768811167,76.049655441040286519,251605.31808377601556,34.9760776070815,-71297.5899099732,-71262.6138323661,-6.6278,58,2.4354
1690,0.5165,25.009540723022315234,75.205165397366585012,251605.31808377601556,34.7551539844539,-71297.3689806196,-71262.6138266351,-6.6278,51,2.4103
1700,0.5222,24.826454497855579007,73.791340888377888518,251605.31808377601556,34.5007234845669,-71297.1144715861,-71262.6137481015,-6.6278,51,2.4021
1710,0.5285,24.724048448248627352,66.135304948625645238,251605.31808377601556,34.3584122737196,-71296.9720918736,-71262.6136795998,-6.6278,55,2.3863
1720,0.5344,24.77639823160520649,51.467718166292264925,251605.31808377601556,34.4311615017746,-71297.0449194144,-71262.6137579126,-6.6278,56,2.4121
1730,0.5400,24.883154168152863406,37.482233568833052573,251605.31808377601556,34.5795176453184,-71297.1933064012,-71262.6137887559,-6.6278,58,2.4643
