Step,Time,Temp,Pressure,Volume,EnergyKinetic,EnergyPotential,EnergyTotal,EnergyTotAtom
9700,9.7000,9.9258034497698819365,-152.83095615019684033,251388.35631651812582,13.7936490372498,-71314.3331883236,-71300.5395392863,-6.6340
9800,9.8000,10.101001992312861333,-148.5546404968825982,251388.35631651812582,14.0371182153274,-71314.5766851398,-71300.5395669244,-6.6340
9900,9.9000,10.033235582952602982,-151.21408511147211584,251388.35631651812582,13.9429448749061,-71314.4825134084,-71300.5395685335,-6.6340
10000,10.0000,10.223390929660292059,-146.84837152352338308,251388.35631651812582,14.2071991620594,-71314.7468016034,-71300.5396024413,-6.6340
10100,10.1000,10.182368537323082336,-147.46973896838542828,251388.35631651812582,14.1501913353951,-71314.6897782092,-71300.5395868738,-6.6340
10200,10.2000,9.9572775530287724877,-152.10044051058903847,251388.35631651812582,13.8373878374701,-71314.3769363389,-71300.5395485014,-6.6340
10300,10.3000,10.050908837746890256,-149.75261581483053419,251388.35631651812582,13.9675049697349,-71314.5070601219,-71300.5395551522,-6.6340
10400,10.4000,10.010684184341533509,-150.54382049029550217,251388.35631651812582,13.911605741574,-71314.4511591458,-71300.5395534042,-6.6340
10500,10.5000,10.030091248347819288,-150.45252193085755721,251388.35631651812582,13.9385752691393,-71314.4781333694,-71300.5395581003,-6.6340
10600,10.6000,10.018624564006316291,-149.59877172486727659,251388.35631651812582,13.922640295187,-71314.4621866844,-71300.5395463892,-6.6340
10700,10.7000,10.056882737789473836,-149.31258176487830269,251388.35631651812582,13.9758067541686,-71314.5153573811,-71300.5395506269,-6.6340
10800,10.8000,10.033413235245509654,-150.48095128942870247,251388.35631651812582,13.9431917540017,-71314.4827355311,-71300.5395437771,-6.6340
10900,10.9000,9.87564656961415821,-153.23641569332784229,251388.35631651812582,13.7239472337462,-71314.2634597426,-71300.5395125089,-6.6340
11000,11.0000,9.9079352138443308462,-152.76682588923586081,251388.35631651812582,13.7688179818577,-71314.3083340404,-71300.5395160585,-6.6340
11100,11.1000,9.9681385178248298473,-150.0321690187259378,251388.35631651812582,13.852481057617,-71314.3920146242,-71300.5395335666,-6.6340
